pincode,latitude,longitude
560001,12.9716,77.5946
560002,12.9716,77.5946
560003,12.9716,77.5946
560004,12.9716,77.5946
560005,12.9716,77.5946
560006,12.9716,77.5946
560007,12.9716,77.5946
560008,12.9716,77.5946
560009,12.9716,77.5946
560010,12.9716,77.5946
560011,12.9716,77.5946
560012,12.9716,77.5946
560013,12.9716,77.5946
560014,12.9716,77.5946
560015,12.9716,77.5946
560016,12.9716,77.5946
560017,12.9716,77.5946
560018,12.9716,77.5946
560019,12.9716,77.5946
560020,12.9716,77.5946
560021,12.9716,77.5946
560022,12.9716,77.5946
560023,12.9716,77.5946
560024,12.9716,77.5946
560025,12.9716,77.5946
560026,12.9716,77.5946
560027,12.9716,77.5946
560028,12.9716,77.5946
560029,12.9716,77.5946
560030,12.9716,77.5946
560032,12.9716,77.5946
560033,12.9716,77.5946
560034,12.9716,77.5946
560035,12.9716,77.5946
560036,12.9716,77.5946
560037,12.9716,77.5946
560038,12.9716,77.5946
560040,12.9716,77.5946
560041,12.9716,77.5946
560043,12.9716,77.5946
560045,12.9716,77.5946
560046,12.9716,77.5946
560047,12.9716,77.5946
560048,12.9716,77.5946
560050,12.9716,77.5946
560051,12.9716,77.5946
560052,12.9716,77.5946
560053,12.9716,77.5946
560054,12.9716,77.5946
560055,12.9716,77.5946
560056,12.9716,77.5946
560057,12.9716,77.5946
560058,12.9716,77.5946
560059,12.9716,77.5946
560060,12.9716,77.5946
560061,12.9716,77.5946
560062,12.9716,77.5946
560063,12.9716,77.5946
560064,12.9716,77.5946
560065,12.9716,77.5946
560066,12.9716,77.5946
560067,12.9716,77.5946
560068,12.9716,77.5946
560069,12.9716,77.5946
560070,12.9716,77.5946
560071,12.9716,77.5946
560072,12.9716,77.5946
560073,12.9716,77.5946
560074,12.9716,77.5946
560075,12.9716,77.5946
560076,12.9716,77.5946
560077,12.9716,77.5946
560078,12.9716,77.5946
560079,12.9716,77.5946
560080,12.9716,77.5946
560081,12.9716,77.5946
560082,12.9716,77.5946
560083,12.9716,77.5946
560084,12.9716,77.5946
560085,12.9716,77.5946
560086,12.9716,77.5946
560087,12.9716,77.5946
560088,12.9716,77.5946
560089,12.9716,77.5946
560090,12.9716,77.5946
560091,12.9716,77.5946
560092,12.9716,77.5946
560093,12.9716,77.5946
560094,12.9716,77.5946
560095,12.9716,77.5946
560096,12.9716,77.5946
560097,12.9716,77.5946
560098,12.9716,77.5946
560099,12.9716,77.5946
560100,12.9716,77.5946
500001,17.3850,78.4867
500002,17.3850,78.4867
500003,17.3850,78.4867
500004,17.3850,78.4867
500005,17.3850,78.4867
500006,17.3850,78.4867
500007,17.3850,78.4867
500008,17.3850,78.4867
500009,17.3850,78.4867
500010,17.3850,78.4867
500011,17.3850,78.4867
500012,17.3850,78.4867
500013,17.3850,78.4867
500014,17.3850,78.4867
500015,17.3850,78.4867
500016,17.3850,78.4867
500017,17.3850,78.4867
500018,17.3850,78.4867
500019,17.3850,78.4867
500020,17.3850,78.4867
500021,17.3850,78.4867
500022,17.3850,78.4867
500023,17.3850,78.4867
500024,17.3850,78.4867
500025,17.3850,78.4867
500026,17.3850,78.4867
500027,17.3850,78.4867
500028,17.3850,78.4867
500029,17.3850,78.4867
500030,17.3850,78.4867
500031,17.3850,78.4867
500032,17.3850,78.4867
500033,17.3850,78.4867
500034,17.3850,78.4867
500035,17.3850,78.4867
500036,17.3850,78.4867
500037,17.3850,78.4867
